workout_id,workout_name,workout_date,exercise_name,set_number,reps,weight_kg,bodyweight_kg,extra_weight_kg,time_sec
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,2,10.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,2,15.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,2,15.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,3,15.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,3,10.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,3,15.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,3,3.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,4,10.0,80.0,,,
851181880073,Monday Morning: Tricep Pushdown With Bar,2023-01-23,Tricep Pushdown With Bar,4,4.0,70.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Back Extension,1,10.0,,0.0,0.0,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Back Extension,2,10.0,,0.0,0.0,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Back Extension,3,10.0,,0.0,0.0,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Barbell Row,1,6.0,50.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Barbell Row,2,5.0,50.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Barbell Row,3,10.0,40.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,1,6.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,1,5.0,52.5,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,1,10.0,50.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,1,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,2,6.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,2,4.0,62.5,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,2,5.0,62.5,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,2,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,3,4.0,75.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,3,3.0,72.5,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,3,5.0,72.5,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,3,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,4,3.0,82.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,4,4.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,4,4.0,82.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,4,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,5,2.0,82.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,5,4.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,5,4.0,82.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,5,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,6,4.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,6,4.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,6,4.0,82.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,6,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,7,4.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,7,4.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,7,4.0,82.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,7,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,8,4.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,8,4.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,8,4.0,82.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,8,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Bench Press,9,5.0,60.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Close-Grip Bench Press,1,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Close-Grip Bench Press,2,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Close-Grip Bench Press,3,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,1,5.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,1,5.0,70.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,2,4.0,95.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,2,5.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,3,3.0,110.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,3,4.0,95.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,4,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,4,3.0,110.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,5,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,5,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,6,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,6,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,7,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,7,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,8,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,8,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Deadlift,9,4.0,123.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Dumbbell Chest Fly,1,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Dumbbell Chest Fly,1,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Dumbbell Chest Fly,2,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Dumbbell Chest Fly,2,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Dumbbell Chest Fly,3,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Dumbbell Chest Fly,3,10.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Overhead Cable Triceps Extension,1,15.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Overhead Cable Triceps Extension,1,10.0,70.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Overhead Cable Triceps Extension,2,15.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Overhead Cable Triceps Extension,2,10.0,100.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Overhead Cable Triceps Extension,3,15.0,0.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Overhead Cable Triceps Extension,3,4.0,110.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Overhead Cable Triceps Extension,4,4.0,110.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Tricep Pushdown With Bar,1,15.0,70.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Tricep Pushdown With Bar,2,15.0,80.0,,,
628777941103,Wednesday Evening: Deadlift & Bench Press,2023-02-01,Tricep Pushdown With Bar,3,15.0,80.0,,,
723269137007,Wednesday Afternoon: Leg Extension & Chest to bar,2023-04-12,Back Extension,1,10.0,,79.0,10.0,
723269137007,Wednesday Afternoon: Leg Extension & Chest to bar,2023-04-12,Back Extension,1,10.0,,79.0,10.0,
723269137007,Wednesday Afternoon: Leg Extension & Chest to bar,2023-04-12,Back Extension,1,0.0,,79.0,10.0,
723269137007,Wednesday Afternoon: Leg Extension & Chest to bar,2023-04-12,Back Extension,1,10.0,,79.0,10.0,
723269137007,Wednesday Afternoon: Leg Extension & Chest to bar,2023-04-12,Back Extension,1,10.0,,79.0,10.0,
723269137007,Wednesday Afternoon: Leg Extension & Chest to bar,2023-04-12,Back Extension,1,10.0,,79.0,0.0,
723269137007,Wednesday Afternoon: Leg Extension & Chest to bar,2023-04-12,Back Extension,1,10.0,,79.0,10.0,
723269137007,Wednesday Afternoon: Leg Extension & Chest to bar,2023-04-12,Back Extension,1,10.0,,0.0,0.0,
